collect_time,2149051_送风温度001,2149052_送风温度001,2149053_送风温度001,2149054_送风温度001,2149055_送风温度001,2149056_送风温度001,2149057_送风温度001,2149058_送风温度001,2149059_送风温度001,2149060_送风温度001,2149061_送风温度001,2149062_送风温度001,2149063_送风温度001,2149064_送风温度001,2149065_送风温度001,2149066_送风温度001,2149067_送风温度001,2149068_送风温度001,2149069_送风温度001,2149070_送风温度001,2157521_冷通道温度,2157522_冷通道温度,2157523_冷通道温度,2157524_冷通道温度,2157525_冷通道温度,2157526_冷通道温度,2157527_冷通道温度,2157528_冷通道温度,2157529_冷通道温度,2157530_冷通道温度,2157531_冷通道温度,2157532_冷通道温度,2157533_冷通道温度,2157534_冷通道温度,2157535_冷通道温度,2157536_冷通道温度,2157537_冷通道温度,2157538_冷通道温度
2023-05-19 12:36:50,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.4,24.1,24.6,25.3000011,24.3000011,24.3000011,24.2,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0676651,23.813282,23.9086723,24.5128479,25.1806183,24.6082382,24.2266541,24.5764389,24.2584534,23.7814827,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:37:00,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.4,24.1,24.6,25.3000011,24.3000011,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.1806183,24.6082382,24.2266541,24.5764389,24.2584534,23.7814827,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:37:10,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.4,24.1,24.6,25.3000011,24.3000011,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.1806183,24.6082382,24.2266541,24.5764389,24.2584534,23.7814827,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:37:20,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6082382,24.2266541,24.5764389,24.2584534,23.7814827,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:37:30,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.2266541,24.5764389,24.2584534,23.7814827,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:37:40,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.2266541,24.5764389,24.2584534,23.8450813,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:37:50,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.2266541,24.5764389,24.2584534,23.8450813,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:38:00,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.2266541,24.5764389,24.2584534,23.8450813,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:38:10,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.2266541,24.5764389,24.2584534,23.8450813,24.7036362,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:38:20,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.2266541,24.5764389,24.2584534,23.8450813,24.6400375,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:38:30,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.1948624,24.5764389,24.3538513,23.8450813,24.6400375,24.322052,25.053421,25.11702,24.5446472,24.5764389,25.08522
2023-05-19 12:38:40,25.2,24.3000011,24.3000011,24.9,24.7,24.3000011,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.9086723,24.5128479,25.11702,24.6400375,24.1948624,24.5764389,24.3538513,23.8450813,24.6400375,24.322052,25.053421,25.11702,24.5446472,24.6082382,25.08522
2023-05-19 12:38:50,25.2,24.3000011,24.3000011,24.9,24.7,24.2,24.3000011,24.3000011,24.1,24.6,25.3000011,24.2,24.3000011,24.1,24.2,24.0,24.1,24.3000011,24.0,24.6,24.1948624,24.0994644,23.813282,23.876873,24.5128479,25.11702,24.6400375,24.1948624,24.5764389,24.3538513,23.8450813,24.6400375,24.322052,25.053421,25.11702,24.5446472,24.6082382,25.08522
